source_index,tweet_id,topic,original_text,cleaned_text
174,2080215773793140853,-1,"Joju George stands with the students. 🔥😍
Actor Joju George attended the solidarity in support of the students’ protest taking place in Delhi. ❤️ https://t.co/s9OaP7OyPF",Joju George stands with the students. 🔥😍 Actor Joju George attended the solidarity in support of the students’ protest taking place in Delhi. ❤️
175,2080210449015177336,20,20 July 1:30 PM : Sharing a clear video showing how the violence was started by CJP supporters. Delhi Police personnel can be seen trying hard to control the situation and prevent further escalation. https://t.co/kU1qiuRyG0,20 July 1:30 PM : Sharing a clear video showing how the violence was started by CJP supporters. Delhi Police personnel can be seen trying hard to control the situation and prevent further escalation.
176,2080209326497767877,6,"Sword-wielding Nihangs were assaulted by CJP protesters and are now seeking help from the Delhi Police.
 https://t.co/ajBz5pICal",Sword-wielding Nihangs were assaulted by CJP protesters and are now seeking help from the Delhi Police.
177,2080206766437191728,6,"CJP goons attacked Nihang Sikhs, and now the Sikhs are standing in support of Delhi Police https://t.co/Wvmp8TARDZ","CJP goons attacked Nihang Sikhs, and now the Sikhs are standing in support of Delhi Police"
178,2080204763258646595,10,"VIDEO | Delhi: Advocates at the Supreme Court read the Constitution's Preamble in support of the Jantar Mantar protest and against police action.

Advocate Indira Jaising says, ""We are here to stand with the students. We are here to stand on the side of justice. We are here to https://t.co/f53Iz1IlI3","VIDEO | Delhi: Advocates at the Supreme Court read the Constitution's Preamble in support of the Jantar Mantar protest and against police action. Advocate Indira Jaising says, ""We are here to stand with the students. We are here to stand on the side of justice. We are here to"
179,2080203840113295570,2,"Republic TV at 8:00 AM: 🇺🇸Soros and deep agents are behind the Delhi protest

Republic TV at 2:00 PM: 🇨🇳China is scripting regime change in India via the Delhi protest

Republic TV at 7:00 PM: 🇧🇩Bangladesh is funding the protest https://t.co/DoPIf4f1zr",Republic TV at 8:00 AM: 🇺🇸Soros and deep agents are behind the Delhi protest Republic TV at 2:00 PM: 🇨🇳China is scripting regime change in India via the Delhi protest Republic TV at 7:00 PM: 🇧🇩Bangladesh is funding the protest
180,2080199305000870236,3,"She is abusing Prime Minister of India &amp; also Prime Minister of Italy

Just listen to the language 

It is important to post these videos without any cuts &amp; blurs

Social Media &amp; Internet Impressions never die

This protest has now captured some highly abusive youth with clear https://t.co/Uy7tC2WYL2",She is abusing Prime Minister of India & also Prime Minister of Italy Just listen to the language It is important to post these videos without any cuts & blurs Social Media & Internet Impressions never die This protest has now captured some highly abusive youth with clear
181,2080197769474802067,3,"Anna Hazare joined students protesting in Nagar &amp; turned emotional. Maintaining that it was a 'silent protest', Hazare said he would not speak to the media. Before that, he left our interview in mid-way!
#CJP #AnnaHazare @mumbaitak @IndiaToday https://t.co/95VKtg4TCC","Anna Hazare joined students protesting in Nagar & turned emotional. Maintaining that it was a 'silent protest', Hazare said he would not speak to the media. Before that, he left our interview in mid-way! CJP AnnaHazare"
182,2080196646886125965,1,"Genuine question 

After the Delhi protest, will you still vote for BJP and Modi ji in 2029? https://t.co/BOZVN2Y1DT","Genuine question After the Delhi protest, will you still vote for BJP and Modi ji in 2029?"
183,2080195406148091927,9,"""Will Frame You In Drug Case"": Mumbai Cop Suspended For Threatening Protesters
https://t.co/Q1Ep8Mqiyj https://t.co/nMbdK0G9QH","""Will Frame You In Drug Case"": Mumbai Cop Suspended For Threatening Protesters"
184,2080194534190039501,2,"A Sikh brother has totally exposed the real face of CJP protest

•⁠  ⁠the protest is no more about interests of students 
•⁠  ⁠⁠everyone is baking their own rotis 
•⁠  ⁠⁠not even 20% are students in the CJP protest

Slowly everyone will understand the real motive of https://t.co/4tZuSX2km2",A Sikh brother has totally exposed the real face of CJP protest •⁠ ⁠the protest is no more about interests of students •⁠ ⁠⁠everyone is baking their own rotis •⁠ ⁠⁠not even 20% are students in the CJP protest Slowly everyone will understand the real motive of
185,2080194094077493562,-1,"#WATCH | Delhi: Head Constable Balram, who was injured during the CJP protest yesterday, says, ""I was on protest duty, crossing the road from Parliament Street near the Regal Building. A crowd was following me. Someone stabbed me from behind, causing a lot of bleeding. I was then https://t.co/CM0HfrSBjO","WATCH | Delhi: Head Constable Balram, who was injured during the CJP protest yesterday, says, ""I was on protest duty, crossing the road from Parliament Street near the Regal Building. A crowd was following me. Someone stabbed me from behind, causing a lot of bleeding. I was then"
186,2080188853542162801,1,"Naseeruddin Shah rakes up '2002' while speaking on the 2026 CJP protest.

2002 still hurts them!!!

It was the day when they lost their street power in Gujarat. https://t.co/CUIB5LgUUg",Naseeruddin Shah rakes up '2002' while speaking on the 2026 CJP protest. 2002 still hurts them!!! It was the day when they lost their street power in Gujarat.
187,2080186814850388367,-1,"“Ram Mandir or whatever the f*** it is,” says a CJP protester in Delhi

Such contempt is reserved only for Hindu symbols. The same person won’t dare use this language for Babri structure let alone the structure in Mecca Medina 

This is the mindset the CJP and its promoters are https://t.co/SDQoAsawqs","“Ram Mandir or whatever the f*** it is,” says a CJP protester in Delhi Such contempt is reserved only for Hindu symbols. The same person won’t dare use this language for Babri structure let alone the structure in Mecca Medina This is the mindset the CJP and its promoters are"
188,2080177443047133390,-1,"A girl went to support students at Jantar Mantar.

Listen to her experience.

- Police was standing peacefully
- Some CJP Supporters started throwing stones
- few moments later more supporters started pelting stones at Police.

Says now the protest is not in control, anti-India https://t.co/DT5G1UwATq","A girl went to support students at Jantar Mantar. Listen to her experience. - Police was standing peacefully - Some CJP Supporters started throwing stones - few moments later more supporters started pelting stones at Police. Says now the protest is not in control, anti-India"
189,2080176389592932850,22,"As an educator, I find it deeply painful to watch the image of our students being tarnished on media.
The students' protest is taking place peacefully at Jantar Mantar. If there are reports of violence elsewhere in Delhi, please do not rush to attribute them to this movement","As an educator, I find it deeply painful to watch the image of our students being tarnished on media. The students' protest is taking place peacefully at Jantar Mantar. If there are reports of violence elsewhere in Delhi, please do not rush to attribute them to this movement"
190,2080174799368679934,3,"REMEMBER this person from CJP protesters in Delhi? 

“Do not abuse Modi.
Do not use bad words against Modi.
Sikhs will not tolerate bad words against Modi.
Say Bharat Mata Ki Jai.
Fight for education, but do not use bad words against Modi.” https://t.co/1J4DtU3j0V","REMEMBER this person from CJP protesters in Delhi? “Do not abuse Modi. Do not use bad words against Modi. Sikhs will not tolerate bad words against Modi. Say Bharat Mata Ki Jai. Fight for education, but do not use bad words against Modi.”"
191,2080165388487405692,-1,These CJP Terr*rists who is responsible for the Delhi riots. I have arranged everything…Agree..? https://t.co/Tb4Huf3ETC,These CJP Terr*rists who is responsible for the Delhi riots. I have arranged everything…Agree..?
192,2080162530652278945,10,#BREAKING: PIL seeking NIA probe into CJP Parliament Protest March mentioned before Delhi High Court today. Court has allowed listing of the matter for tomorrow. Plea seeks probe into allegations of foreign funding of CJP protest at Jantar Mantar.,BREAKING: PIL seeking NIA probe into CJP Parliament Protest March mentioned before Delhi High Court today. Court has allowed listing of the matter for tomorrow. Plea seeks probe into allegations of foreign funding of CJP protest at Jantar Mantar.
193,2080162144793018638,-1,"This student alleges that Delhi Police brutally beat him on the first day of the protest.

So he came back the next day wearing his full cricket kit.

Gen Z really has a solution for everything. I hope the future of this country is bright. 😭 https://t.co/rEoNuBM3Yf",This student alleges that Delhi Police brutally beat him on the first day of the protest. So he came back the next day wearing his full cricket kit. Gen Z really has a solution for everything. I hope the future of this country is bright. 😭
194,2080161121198358976,4,"NEET topper bashing the so called student protest of CJP 🚨

Question: What do you think about student protest going on in our country ?

She said : ""Look, from what I saw of this protest, I felt that there are no NEET students in this protest, the way they are chanting slogans https://t.co/sYnIrF3p5E","NEET topper bashing the so called student protest of CJP 🚨 Question: What do you think about student protest going on in our country ? She said : ""Look, from what I saw of this protest, I felt that there are no NEET students in this protest, the way they are chanting slogans"
195,2080156124414980117,25,"A feminist, communist, liberal, educated woman is asking people to donate money to her for students who committed suicide because of paper leaks. 😭😭

And I am sure, she is not the only one who is doing it.

All kind of illegal, immoral things are happening in garb of the CJP https://t.co/edJ9JD0hi2","A feminist, communist, liberal, educated woman is asking people to donate money to her for students who committed suicide because of paper leaks. 😭😭 And I am sure, she is not the only one who is doing it. All kind of illegal, immoral things are happening in garb of the CJP"
196,2080152599093989407,6,"🚨 Nihang Sikhs are also exposing the CJP protest:

We came here to help the students, but some people are trying to provoke the police. The police are sitting peacefully, yet they are still being provoked.

They are damaging buses and public property, but at the end of the day, https://t.co/tkIqsGXAUA","🚨 Nihang Sikhs are also exposing the CJP protest: We came here to help the students, but some people are trying to provoke the police. The police are sitting peacefully, yet they are still being provoked. They are damaging buses and public property, but at the end of the day,"
197,2080140602189234184,-1,"Look at this girl — she hasn’t even passed 12th grade yet. By just showing up at the CJP protests, she gained massive visibility, grew her Social Media, and now sells oil and shampoo from home. 

Some people are attending the CJP protest purely for social media growth. They say https://t.co/72RRlejbhG","Look at this girl — she hasn’t even passed 12th grade yet. By just showing up at the CJP protests, she gained massive visibility, grew her Social Media, and now sells oil and shampoo from home. Some people are attending the CJP protest purely for social media growth. They say"
198,2080138468374851695,1,"Imagine if members of Bajrang Dal and RSS also came to Jantar Mantar Delhi in support of Prime Minister Modi?

Then? Therefore, the CJP should control its people and refrain from making indecent and controversial comments about Lord Shri Ram. https://t.co/7kHiN9lGwk","Imagine if members of Bajrang Dal and RSS also came to Jantar Mantar Delhi in support of Prime Minister Modi? Then? Therefore, the CJP should control its people and refrain from making indecent and controversial comments about Lord Shri Ram."
199,2080132164243562503,20,"#WATCH | Delhi: CCTV footage from July 20th during the protest at Jantar Mantar has surfaced, which has been confirmed by the Delhi Police. The footage shows incidents of stone-pelting, breaking of glass at petrol pumps and shops. Delhi Police and RAF personnel are also seen https://t.co/HSmZb5MTGW","WATCH | Delhi: CCTV footage from July 20th during the protest at Jantar Mantar has surfaced, which has been confirmed by the Delhi Police. The footage shows incidents of stone-pelting, breaking of glass at petrol pumps and shops. Delhi Police and RAF personnel are also seen"
200,2080125786535964829,1,"This American is calling Indian forces and govt fascist pigs!

What is an American doing in CJP protest in Delhi?

He is lucky he is in India and NOT in China, Iran, Pakistan or Middle East

CC: @MEAIndia  https://t.co/P0GnTqfNRh","This American is calling Indian forces and govt fascist pigs! What is an American doing in CJP protest in Delhi? He is lucky he is in India and NOT in China, Iran, Pakistan or Middle East CC:"
201,2080123814214836587,11,"#WATCH | Delhi: Founding President of Cockroach Janta Party, Abhijeet Dipke says, ""People are being sent from outside to deliberately disrupt the protest. We have been sitting here for a month. No such incident has happened in a month. But now, as this protest has grown, goons https://t.co/eqSeYcfhm1","WATCH | Delhi: Founding President of Cockroach Janta Party, Abhijeet Dipke says, ""People are being sent from outside to deliberately disrupt the protest. We have been sitting here for a month. No such incident has happened in a month. But now, as this protest has grown, goons"
202,2080116242191728993,23,"Appearing before the Delhi High Court in the plea challenging the alleged police brutalities during the recent student protest over examination paper leaks, Senior Advocate Gopal Sankaranarayanan argued that judicial intervention was imperative to uphold the rule of law. He https://t.co/i99Zg72EoO","Appearing before the Delhi High Court in the plea challenging the alleged police brutalities during the recent student protest over examination paper leaks, Senior Advocate Gopal Sankaranarayanan argued that judicial intervention was imperative to uphold the rule of law. He"
203,2080113167108289016,1,"CJP protest had atleast 1 good effect:
People started talking about Reservation!!!",CJP protest had atleast 1 good effect: People started talking about Reservation!!!
204,2077720124971487632,2,"Parliament Session starts 20th July

All MPs will be in Delhi and CJP protest is also going on

Do you think this will Turn into a Political Movement?",Parliament Session starts 20th July All MPs will be in Delhi and CJP protest is also going on Do you think this will Turn into a Political Movement?
205,2077683798766956888,2,"▶️ #WATCH | Abhinay Sharma @abhinaymaths known as Abhinay Sir, famous for his unique style of teaching mathematics, visited Jantar Mantar and reiterated his support for the ongoing CJP protest in Delhi.

➡️ Abhinay Sharma criticizes the government for its perceived lack of https://t.co/AzW7DrUIAa","▶️ WATCH | Abhinay Sharma known as Abhinay Sir, famous for his unique style of teaching mathematics, visited Jantar Mantar and reiterated his support for the ongoing CJP protest in Delhi. ➡️ Abhinay Sharma criticizes the government for its perceived lack of"
206,2075251259981111566,-1,"Let me tell you how big a liar Abhijeet Dipke is.

The Delhi Police immediately allowed the CJP protest to put up a tent and a tarpaulin to protect themselves from the rain. But Abhijeet Dipke insisted on using iron stands instead.

The police also allowed the tarpaulin to be https://t.co/RZb0KIIZ60",Let me tell you how big a liar Abhijeet Dipke is. The Delhi Police immediately allowed the CJP protest to put up a tent and a tarpaulin to protect themselves from the rain. But Abhijeet Dipke insisted on using iron stands instead. The police also allowed the tarpaulin to be
207,2075149775553589624,9,"🚨 #WATCH | CJP Protest Jantar Mantar, Delhi 🚨 

➡️Protesters at Delhi's Jantar Mantar are being prevented from entering the protest site. 

➡️Students have started a sit-in protest right outside the venue.

➡️A heavy police force has been deployed there.

➡️Amidst the rain, the https://t.co/1j3iCopEPY","🚨 WATCH | CJP Protest Jantar Mantar, Delhi 🚨 ➡️Protesters at Delhi's Jantar Mantar are being prevented from entering the protest site. ➡️Students have started a sit-in protest right outside the venue. ➡️A heavy police force has been deployed there. ➡️Amidst the rain, the"
208,2072739555716042896,-1,"This person who openly questioned the existance of Prabhu Shree Ram, slammed SC judgement, abused Prabhu Ram and Mata Sita, unnecessarily dragged PM Modi's wife and mother - was given Stage at CJP protest in Delhi. https://t.co/jxRH3YliAL","This person who openly questioned the existance of Prabhu Shree Ram, slammed SC judgement, abused Prabhu Ram and Mata Sita, unnecessarily dragged PM Modi's wife and mother - was given Stage at CJP protest in Delhi."
209,2071199383555875250,13,"As Sonam Wangchuk has now begun a hunger strike at the CJP protest in Delhi today,

Now, sources indicate that in the coming days, an actor and a singer are also expected to arrive in Delhi to join the protest.

The actor is well-known for playing villain roles in movies and","As Sonam Wangchuk has now begun a hunger strike at the CJP protest in Delhi today, Now, sources indicate that in the coming days, an actor and a singer are also expected to arrive in Delhi to join the protest. The actor is well-known for playing villain roles in movies and"
210,2068720449207628108,8,"Cockroach Janta party Protest | CJP
Day 2, Delhi 📍
⏱️ 8:40 PM

👦 Bande mein Dum to hain 👊🏻

#भरतपुर_चलो #One8GlobalPremiere 
#OGUniverse हनुमान सेना
#WilliamEstFMinMadrid https://t.co/eIkLtZtqwD","Cockroach Janta party Protest | CJP Day 2, Delhi 📍 ⏱️ 8:40 PM 👦 Bande mein Dum to hain 👊🏻 भरतपुर_चलो One8GlobalPremiere OGUniverse हनुमान सेना WilliamEstFMinMadrid"
211,2068685732873699419,-1,"Shyam Meera Singh was beaten up during the CJP protest. 🥳

Source - Cjp Protest, Jantar Mantar Delhi. https://t.co/fA9JO48PUl","Shyam Meera Singh was beaten up during the CJP protest. 🥳 Source - Cjp Protest, Jantar Mantar Delhi."
212,2063653840617165305,0,"Important announcement 📣 

CJP will mobilize across India before returning to Delhi for our next big protest. 

Dharmendra Pradhan must resign!

#CockroachJantaParty #CJP #AbhijitDipke #delhi https://t.co/5JtHqGNfHL",Important announcement 📣 CJP will mobilize across India before returning to Delhi for our next big protest. Dharmendra Pradhan must resign! CockroachJantaParty CJP AbhijitDipke delhi
213,2063651278073504245,18,"🚨 SHOCKING &amp; SHAMEFUL 

A Cockroach claiming to be Delhi High Court advocate participating in the CJP protest says, “I have NO PROBLEM if India is BROKEN into 7 pieces.” https://t.co/VQPrKlRfAJ","🚨 SHOCKING & SHAMEFUL A Cockroach claiming to be Delhi High Court advocate participating in the CJP protest says, “I have NO PROBLEM if India is BROKEN into 7 pieces.”"
214,2063647085228962191,0,"Important announcement 📣 

CJP will mobilize across India before returning to Delhi for our next big protest. 

Dharmendra Pradhan must resign! https://t.co/y3Oq5cxOki",Important announcement 📣 CJP will mobilize across India before returning to Delhi for our next big protest. Dharmendra Pradhan must resign!
215,2078908092868358573,2,"Never thought that this scene will ever come true from Reel life to Real life !!😂

CJP protest in a nut shell.🔥 https://t.co/YEgwAtfPBL",Never thought that this scene will ever come true from Reel life to Real life !!😂 CJP protest in a nut shell.🔥
216,2078898948656521567,28,"This Is Truly Heartwarming : ❤️

Specially-abled students at the CJP protest at Jantar Mantar are sharing their voices through sign language.👇 https://t.co/eWkCltO7no",This Is Truly Heartwarming : ❤️ Specially-abled students at the CJP protest at Jantar Mantar are sharing their voices through sign language.👇
217,2078897200936202538,-1,"Uncle is a BJP Member 

Uncle has Taken lut a loan of 5 lakh for his Son's NEET preparation 

NEET cancelled ,Uncle lost his Money and son Frustrated and joined CJP Protest 

Uncle wants BJP to throw away Dharmendra Pradhan from cabinet otherwise they will come to street 

Unce https://t.co/w1TofoCBUl","Uncle is a BJP Member Uncle has Taken lut a loan of 5 lakh for his Son's NEET preparation NEET cancelled ,Uncle lost his Money and son Frustrated and joined CJP Protest Uncle wants BJP to throw away Dharmendra Pradhan from cabinet otherwise they will come to street Unce"
218,2078885163074011460,-1,"DCP New Delhi, Sachin Sharma has clarified that no application seeking permission for a protest march by CJP has been received by the Delhi Police, nor has any permission been granted for 20th July protest march. https://t.co/yISILBQHcg","DCP New Delhi, Sachin Sharma has clarified that no application seeking permission for a protest march by CJP has been received by the Delhi Police, nor has any permission been granted for 20th July protest march."
219,2078877642795954340,2,"🚨 BREAKING!

Hundreds of buses carrying Punjab farmers will head to Delhi on JULY 20 for the “Desh Bachao Morcha” rally at Kisan Ghat 🤯

— The protest will be held against the proposed India–US trade deal. https://t.co/RhtOfsigTj",🚨 BREAKING! Hundreds of buses carrying Punjab farmers will head to Delhi on JULY 20 for the “Desh Bachao Morcha” rally at Kisan Ghat 🤯 — The protest will be held against the proposed India–US trade deal.
220,2078858599489810941,2,"🚨Prohabitory orders u/s 163 BNSS are in force in New Delhi District except designated protest site at Jantar Mantar Road. 

Further, no permission has been sought or granted for any proposed march to Parliament on 20 July 2026.

Citizens are advised not to participate in any https://t.co/aUio5slVM6","🚨Prohabitory orders u/s 163 BNSS are in force in New Delhi District except designated protest site at Jantar Mantar Road. Further, no permission has been sought or granted for any proposed march to Parliament on 20 July 2026. Citizens are advised not to participate in any"
221,2078848531469877317,-1,"Aditya Thackeray 
Uddhav Thackeray 
Manish Sisodiya 
Arvind Kejriwal
Shabana Azmi 
Sonakshi Sinha 
Prakash Raj 

The list is long! 
CJP Protest is seeing people who are Anti-BJP
This is not a protest for Students, its an Anti BJP Protest  https://t.co/ixQs1jxCll","Aditya Thackeray Uddhav Thackeray Manish Sisodiya Arvind Kejriwal Shabana Azmi Sonakshi Sinha Prakash Raj The list is long! CJP Protest is seeing people who are Anti-BJP This is not a protest for Students, its an Anti BJP Protest"
222,2078847123882475838,0,"""I won't hesitate in demanding resignation of PM Narendra Modi""

- ADITYA THACKERAY AT CJP PROTEST https://t.co/6HV2JIVm4d","""I won't hesitate in demanding resignation of PM Narendra Modi"" - ADITYA THACKERAY AT CJP PROTEST"
223,2078846887856308593,-1,"VIDEO | Delhi: On the protest at Jantar Mantar, TMC MP Mahua Moitra says, ""Such early morning strike is usually done in enemy states. This is the first time in a democracy that the government is carrying on morning day break secret coward operation on its own citizens, who are https://t.co/5HHTyDl2Xe","VIDEO | Delhi: On the protest at Jantar Mantar, TMC MP Mahua Moitra says, ""Such early morning strike is usually done in enemy states. This is the first time in a democracy that the government is carrying on morning day break secret coward operation on its own citizens, who are"
224,2078843947317592109,13,"“We are proud of Sonam Wangchuk, Abhijeet Dipke and all the protestors on hunger strike in Delhi fighting for all of us”

Shiv Sena leader @AUThackeray at the protest in Mumbai organized against the Education Minister. https://t.co/jPUkLoYwtP","“We are proud of Sonam Wangchuk, Abhijeet Dipke and all the protestors on hunger strike in Delhi fighting for all of us” Shiv Sena leader at the protest in Mumbai organized against the Education Minister."
225,2078840773056065804,2,"PUBLIC ADVISORY 

In view of reports of a proposed march to Parliament by CJP on 20.07.2026 (Monday), Delhi Police hereby categorically clarifies  that no permission has been sought or granted for any such protest march/procession.

Prohibitory order under Section 163 BNSS","PUBLIC ADVISORY In view of reports of a proposed march to Parliament by CJP on 20.07.2026 (Monday), Delhi Police hereby categorically clarifies that no permission has been sought or granted for any such protest march/procession. Prohibitory order under Section 163 BNSS"
226,2078783774557704430,9,"▶️ #WATCH | CJP Protest And Hunger Strike | Jantar Mantar, Delhi 

➡️ Delhi Police is preparing to crack down to end the CJP protest and hunger strike at Jantar Mantar.

➡️ Heavy police force has been deployed at Delhi's Jantar Mantar to clear the CJP protest and hunger strike. https://t.co/0ZqIsEPuQK","▶️ WATCH | CJP Protest And Hunger Strike | Jantar Mantar, Delhi ➡️ Delhi Police is preparing to crack down to end the CJP protest and hunger strike at Jantar Mantar. ➡️ Heavy police force has been deployed at Delhi's Jantar Mantar to clear the CJP protest and hunger strike."
227,2078766572399948012,-1,"SHOCKING NEWS 🚨 Calls for the restoration of Article 370 were raised from the CJP protest stage by a J&amp;K MP 😳

Wangchuk calls it a ""Freedom March""

Demands raised for Umar Khalid and the restoration of Article 370 by CJP.
 https://t.co/uuO1GT8pG6","SHOCKING NEWS 🚨 Calls for the restoration of Article 370 were raised from the CJP protest stage by a J&K MP 😳 Wangchuk calls it a ""Freedom March"" Demands raised for Umar Khalid and the restoration of Article 370 by CJP."
228,2078753436263395625,3,"When international media (Sky news Australia) is covering the CJP protest, who needs validation of Godi Media.

Boycott Godi Media ✅️ https://t.co/sA3lO28SQc","When international media (Sky news Australia) is covering the CJP protest, who needs validation of Godi Media. Boycott Godi Media ✅️"
229,2078743065666404856,-1,"🚨 SHOCKER! J&amp;K MP demands RESTORATION of Article 370 from the CJP protest stage at Jantar Mantar. 

What started as a student movement against the NEET paper leak is now hosting calls for the restoration of Article 370.

=&gt; Their masks are slowly coming off.",🚨 SHOCKER! J&K MP demands RESTORATION of Article 370 from the CJP protest stage at Jantar Mantar. What started as a student movement against the NEET paper leak is now hosting calls for the restoration of Article 370. => Their masks are slowly coming off.
230,2078722755038716051,-1,"🚨 ARTICLE 370 on CJP Agenda?

Calls for the RESTORATION of Article 370 were raised from the CJP protest stage by an J&amp;K MP 🤯

- Wangchuk calls it ""FREEDOM MARCH""
- Calls for Umar Khalid &amp; Article 370
What's next?👀
https://t.co/kmMOsp1YH4","🚨 ARTICLE 370 on CJP Agenda? Calls for the RESTORATION of Article 370 were raised from the CJP protest stage by an J&K MP 🤯 - Wangchuk calls it ""FREEDOM MARCH"" - Calls for Umar Khalid & Article 370 What's next?👀"
231,2078719404314075492,0,"GRWM To Join CJP Protest.

Now Big Revolution Will Come.

Not only Dharmendra Pradhan,
But Now Mudi Will Give Resignation.

🤡
#cjp https://t.co/r3RFNiuHD9","GRWM To Join CJP Protest. Now Big Revolution Will Come. Not only Dharmendra Pradhan, But Now Mudi Will Give Resignation. 🤡 cjp"
232,2078712534433988937,-1,"PLEASE NOTE

Sources: 30-40 goons from BJP and Delhi Police have infiltrated our protest site and will try to make anti-India provocative statements to create mischief today. We have to expose and reject such people - they are not supporters of CJP or Sonam Wangchuk! https://t.co/CRm6T8099t",PLEASE NOTE Sources: 30-40 goons from BJP and Delhi Police have infiltrated our protest site and will try to make anti-India provocative statements to create mischief today. We have to expose and reject such people - they are not supporters of CJP or Sonam Wangchuk!
233,2078696650084700528,2,"The March on 20 July will take place, as Sonam Sir has decided.

I request all supporters to reach Jantar Mantar. Both our protest and the march will remain peaceful. Anyone who creates any kind of disruption or raises negative slogans cannot be a supporter of Sonam Sir or CJP. https://t.co/52MvJtZ7tv","The March on 20 July will take place, as Sonam Sir has decided. I request all supporters to reach Jantar Mantar. Both our protest and the march will remain peaceful. Anyone who creates any kind of disruption or raises negative slogans cannot be a supporter of Sonam Sir or CJP."
234,2078655327004962960,6,"Early this morning, Chandrashekhar Azad Ravan arrived at the CJP protest and started threatening the Delhi Police.

Abhijeet Dipke can't handle anything on his own, so he has brought in hired goons instead. https://t.co/UE6ZD3P6MO","Early this morning, Chandrashekhar Azad Ravan arrived at the CJP protest and started threatening the Delhi Police. Abhijeet Dipke can't handle anything on his own, so he has brought in hired goons instead."
235,2073856883870536052,2,"Abhijeet Dipke - 10000 People Attended CJP Protest on 6th July

Vijeta Dhaiya: 8000 People Attended CJP Protest on 6th July

Mitha Das : 6000 People Attended CJP Protest on 6th July

Ashutosh Ranka: 15000 People Attended CJP Protest on 6th July

Sonam Wangchuk: 7000 People",Abhijeet Dipke - 10000 People Attended CJP Protest on 6th July Vijeta Dhaiya: 8000 People Attended CJP Protest on 6th July Mitha Das : 6000 People Attended CJP Protest on 6th July Ashutosh Ranka: 15000 People Attended CJP Protest on 6th July Sonam Wangchuk: 7000 People
236,2073732372160532851,-1,"Arundhati Roy receives a grand welcome at the CJP protest in Delhi.

This is the same Arundhati Roy who once argued that:
-&gt; Goa’s 1961 liberation was an “upper-caste Hindu state waging WAR against Christians.” https://t.co/8mDmyTgrTs",Arundhati Roy receives a grand welcome at the CJP protest in Delhi. This is the same Arundhati Roy who once argued that: -> Goa’s 1961 liberation was an “upper-caste Hindu state waging WAR against Christians.”
237,2073621834424266861,11,"Abhijeet Dipke called German Shepherd (aka Dhruv Rathee) form Jantar Mantar.

When some people asked Dhruv Rathee to come to Delhi and join the CJP protest, Dhruv Rathee ignored them. 🤣🤣🤣 https://t.co/7h7hIqMQv6","Abhijeet Dipke called German Shepherd (aka Dhruv Rathee) form Jantar Mantar. When some people asked Dhruv Rathee to come to Delhi and join the CJP protest, Dhruv Rathee ignored them. 🤣🤣🤣"
238,2068401695944855827,-1,"Cockroach Janta Party | CJP Protest
Jantar Mantar, Delhi 📍
Dharamder Pradhan - RESIGNATION https://t.co/6qMMF0YHAD","Cockroach Janta Party | CJP Protest Jantar Mantar, Delhi 📍 Dharamder Pradhan - RESIGNATION"
239,2068339756673700036,2,"7.55 PM, 20 June, 2026. Jantar Mantar, New Delhi.

CJP continues protest at Jantar Mantar

Abhijeet Dipke Appeals to Delhi Police to turn on lights and don’t stop  Water Bottles at the entrance. 

Video Source : @Cockroachisback https://t.co/vxLRK1A1Si","7.55 PM, 20 June, 2026. Jantar Mantar, New Delhi. CJP continues protest at Jantar Mantar Abhijeet Dipke Appeals to Delhi Police to turn on lights and don’t stop Water Bottles at the entrance. Video Source :"
240,2068309472184090712,9,"JUST IN | Delhi Police has blocked entry to Jantar Mantar, where CJP continues to protest.

Delhi Police announced that the protest permission was only till 5 pm and have asked protestors to vacate the protest site.

- reports @ikasnik","JUST IN | Delhi Police has blocked entry to Jantar Mantar, where CJP continues to protest. Delhi Police announced that the protest permission was only till 5 pm and have asked protestors to vacate the protest site. - reports"
241,2068274423338336753,8,"Cockroach Janta Party | CJP Protest
Jantar Mantar, Delhi 📍

🚫 Corono Days - Thali Bajao 😎

Go Pradhan go. https://t.co/Xz2ivTJlRH","Cockroach Janta Party | CJP Protest Jantar Mantar, Delhi 📍 🚫 Corono Days - Thali Bajao 😎 Go Pradhan go."
242,2068258930921468318,2,"CJP protest in Delhi : Jantar Mantar sees better turnout than last time, protestors wait for Dipke ji, https://t.co/n7vvumJI9v","CJP protest in Delhi : Jantar Mantar sees better turnout than last time, protestors wait for Dipke ji,"
243,2063242185106198571,8,This is why Cockroach janta party CJP Protest failed in Delhi https://t.co/0v6Kc8m3Rb,This is why Cockroach janta party CJP Protest failed in Delhi
244,2063241778728501498,2,"Arfa Khanum becomes angry while reporting on CJP protest in Delhi

""Over 2-3 crore people follow CJP on Social media yet only 1000-2000 people showed up on protest site today"" - She says with tears in her eyes 😂

1 aur zakhm..","Arfa Khanum becomes angry while reporting on CJP protest in Delhi ""Over 2-3 crore people follow CJP on Social media yet only 1000-2000 people showed up on protest site today"" - She says with tears in her eyes 😂 1 aur zakhm.."
